0,Mon Mar 28 08:54:07 EDT 2022,true,client\ClientConfigure.java,classDecomposition,[[public  localProcessingOnly:boolean->void, public  init:String[]->void, public  inCoupler:String;int->void, public  processArgs:String[]->void], [public  experimentInput:->void]]
0,Mon Mar 28 08:54:07 EDT 2022,true,client\ClientConfigure.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:08 EDT 2022,true,client\ClientRemoteObject.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:08 EDT 2022,true,server\ServerRemoteObject.java,thenBranching,broadcast
0,Mon Mar 28 08:54:08 EDT 2022,true,server\ServerRemoteObject.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:08 EDT 2022,true,client\ClientOutCoupler.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,ORIGINAL_CLIENT_NAME,name
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,aProposalNumber,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,aProposalNumber,proposal
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,aProposalNumber,number
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,newCommand,new
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,newCommand,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,anEvent,an
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,nameInDictionary,anEvent,event
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,variableHasInterfaceType,ServerRemoteInterface,ObservingServer
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,variableHasInterfaceType,ClientRemoteInterface,originalClient
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,variableHasInterfaceType,ServerRemoteInterface,anObservingServer
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,variableHasInterfaceType,ClientRemoteInterface,aClient
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientOutCoupler.java,classHasAtLeastOneInterface,client.ClientOutCoupler,No Tag
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,tags,client.ClientRemoteInterface,@DistributedTags.CLIENT_REMOTE_INTERFACE+@DistributedTags.RMI
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,client.ClientRemoteInterface,client
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,client.ClientRemoteInterface,remote
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,client.ClientRemoteInterface,interface
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aNewCommand,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aNewCommand,new
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aNewCommand,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aProposalNumber,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aProposalNumber,proposal
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aProposalNumber,number
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,args,args
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aPrefix,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteInterface.java,nameInDictionary,aPrefix,prefix
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,client.ClientRemoteObject,client
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,client.ClientRemoteObject,remote
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,client.ClientRemoteObject,object
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,commandProcessor,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,commandProcessor,processor
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,NUM_EXPERIMENT_COMMANDS,num
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,NUM_EXPERIMENT_COMMANDS,experiment
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,NUM_EXPERIMENT_COMMANDS,commands
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,EXPERIMENT_COMMAND_1,experiment
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,EXPERIMENT_COMMAND_1,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,EXPERIMENT_COMMAND_2,experiment
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,EXPERIMENT_COMMAND_2,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,simulationCoupler,simulation
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,simulationCoupler,coupler
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,server,server
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_HOST_NAME,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_HOST_NAME,server
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_HOST_NAME,host
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_HOST_NAME,name
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_PORT,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_PORT,server
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,RMI_SERVER_PORT,port
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,SERVER_NAME,server
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,SERVER_NAME,name
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,CLIENT_NAME,client
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,CLIENT_NAME,name
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,clientOutCoupler,client
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,clientOutCoupler,out
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,clientOutCoupler,coupler
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aPrefix,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aPrefix,prefix
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,args,args
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,rmiRegistry,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,rmiRegistry,registry
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aNewCommand,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aNewCommand,new
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aNewCommand,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,proposalNumber,proposal
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,proposalNumber,number
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aCommand,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aCommand,command
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aCode,a
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,aCode,code
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,newValue,new
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,nameInDictionary,newValue,value
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,variableHasInterfaceType,ServerRemoteInterface,server
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,publicMethodsOverride,[]
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,classHasAtLeastOneInterface,client.ClientRemoteObject,No Tag
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,classHasExactlyOneInterface,client.ClientRemoteObject,No Tag
0,Mon Mar 28 08:54:22 EDT 2022,true,client\ClientRemoteObject.java,methodAccessModifierMatched,setTracing:->void,protected,[client.ClientRemoteObject],[protected]
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,tags,registry.TrickOrTreatRegistry,@DistributedTags.REGISTRY+@DistributedTags.RMI
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,registry.TrickOrTreatRegistry,registry
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,registry.TrickOrTreatRegistry,trick
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,registry.TrickOrTreatRegistry,or
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,registry.TrickOrTreatRegistry,treat
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,SERVER_PORT,server
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,SERVER_PORT,port
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,rmiRegistry,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,rmiRegistry,registry
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,scanner,scanner
0,Mon Mar 28 08:54:22 EDT 2022,true,registry\TrickOrTreatRegistry.java,nameInDictionary,args,args
0,Mon Mar 28 08:54:22 EDT 2022,true,server\OriginalSimulation.java,nameInDictionary,server.OriginalSimulation,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\OriginalSimulation.java,nameInDictionary,server.OriginalSimulation,original
0,Mon Mar 28 08:54:22 EDT 2022,true,server\OriginalSimulation.java,nameInDictionary,server.OriginalSimulation,simulation
0,Mon Mar 28 08:54:22 EDT 2022,true,server\OriginalSimulation.java,nameInDictionary,args,args
0,Mon Mar 28 08:54:22 EDT 2022,true,server\Server.java,nameInDictionary,server.Server,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\Server.java,nameInDictionary,server,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\Server.java,nameInDictionary,args,args
0,Mon Mar 28 08:54:22 EDT 2022,true,server\Server.java,variableHasInterfaceType,ServerRemoteInterface,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,server.ServerConfigure,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,server.ServerConfigure,configure
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,clientList,client
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,clientList,list
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_HOST_NAME,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_HOST_NAME,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_HOST_NAME,host
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_HOST_NAME,name
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_PORT,rmi
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_PORT,server
0,Mon Mar 28 08:54:22 EDT 2022,true,server\ServerConfigure.java,nameInDictionary,RMI_SERVER_PORT,port
