#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
15,Thu Feb 24 11:14:41 EST 2022,17,0,A3SpecificStyleSuite,A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces ,A3AccessModifiersMatched A3ConfigurationProvided A3NamedConstants A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,3,true,A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls , , ,A3ExpectedCalls-(8.0/20.0) A3ExpectedInterfaces-(2.5/5.0) A3ExpectedSignatures-(5.0/5.0) A3SpuriousCalls-(20.0/20.0) , ,
16,Thu Feb 24 11:14:43 EST 2022,14,-3,A3GeneralStyleSuite,A3ExpectedSignatures A3NamedConstants+ A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType- A3MnemonicNames- ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,4,true,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride , ,A3AccessModifiersMatched A3MnemonicNames A3NoCheckstyleWarnings A3PublicMethodsOverride ,A3AccessModifiersMatched-(0.0/5.0) A3InterfaceAsType-(9.7/10.0) A3MnemonicNames-(15.0/15.0) A3NamedConstants-(1.0/1.0) A3NoCheckstyleWarnings-(0.0/20.0) A3PublicMethodsOverride-(10.0/10.0) , ,
17,Thu Feb 24 11:14:59 EST 2022,14,0,A3GeneralStyleSuite,A3ExpectedSignatures A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,5,true,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride , ,A3AccessModifiersMatched A3MnemonicNames A3NoCheckstyleWarnings A3PublicMethodsOverride ,A3AccessModifiersMatched-(0.0/5.0) A3InterfaceAsType-(9.7/10.0) A3MnemonicNames-(15.0/15.0) A3NamedConstants-(1.0/1.0) A3NoCheckstyleWarnings-(0.0/20.0) A3PublicMethodsOverride-(10.0/10.0) , ,
18,Thu Feb 24 11:15:02 EST 2022,14,0,BasicDistributedFacebookMapReduce,A3ExpectedSignatures A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,6,true,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,A3ConfigurationProvided ,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,ClientFacebookMapReducePartialReduce-(0.0/10.0) ClientFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReducePartialReduce-(0.0/10.0) DistributedFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReduceResult-(0.0/10.0) , ,
19,Thu Feb 24 11:15:03 EST 2022,14,0,BasicDistributedFacebookMapReduce,A3ExpectedSignatures A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,7,true,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult , ,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,ClientFacebookMapReducePartialReduce-(0.0/10.0) ClientFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReducePartialReduce-(0.0/10.0) DistributedFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReduceResult-(0.0/10.0) , ,
20,Thu Feb 24 11:15:40 EST 2022,14,0,DistributedPartitionedReduce,A3ExpectedSignatures A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,8,true,ClientSumPartitionReduce ClientTokenCountPartition3Reduce ,DistributedSumResult DistributedTokenCountResult , ,ClientSumPartitionReduce-(0.0/10.0) ClientTokenCountPartition3Reduce-(0.0/30.0) , ,
21,Thu Feb 24 11:15:40 EST 2022,14,0,DistributedPartitionedReduce,A3ExpectedSignatures A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,3,9,true,ClientSumPartitionReduce ClientTokenCountPartition3Reduce , , ,ClientSumPartitionReduce-(0.0/10.0) ClientTokenCountPartition3Reduce-(0.0/30.0) , ,
22,Thu Feb 24 12:32:11 EST 2022,14,0,A3SpecificStyleSuite,A3ExpectedInterfaces+ A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedSignatures- A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,4,0,true,A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls , , ,A3ExpectedCalls-(10.8/20.0) A3ExpectedInterfaces-(5.0/5.0) A3ExpectedSignatures-(3.0/5.0) A3SpuriousCalls-(20.0/20.0) , ,
23,Thu Feb 24 12:32:14 EST 2022,14,0,A3ExpectedCalls,A3ExpectedInterfaces A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,4,1,false, , , ,A3ExpectedCalls-(10.8/20.0) , ,
24,Thu Feb 24 12:32:23 EST 2022,14,0,A3ExpectedCalls,A3ExpectedInterfaces A3NamedConstants A3PublicMethodsOverride A3SpuriousCalls ,A3ExpectedCalls A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames ,A3AccessModifiersMatched A3ConfigurationProvided A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountQuit DistributedSumPartialReduce DistributedSumQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit ,4,2,false, , , ,A3ExpectedCalls-(10.8/20.0) , ,
